"merchant","correlation","rank","selected"
"merchant_Tres_Reyes_9486",0.121718046392565,372,FALSE
"merchant_Montecassino_11020",0.121643085889334,373,FALSE
"merchant_My_Next_Derma_6489",0.121333816671897,374,FALSE
"merchant_Amelie_Joyas_Online_3475",0.121039079352339,375,FALSE
"merchant_Ana_Isabel_Uniformes_6951",0.120947832666145,376,FALSE
"merchant_Siniestra_6129",0.120170161074695,377,FALSE
"merchant_Con_T_de_Tlacuache_9988",0.120162292402351,378,FALSE
"merchant_Dluchi_8340",0.119882298736671,379,FALSE
"merchant_Pirma_9930",0.119880154207231,380,FALSE
"merchant_Office_Max_6051",0.119594554054332,381,FALSE
"merchant_Dogelthy_8567",0.119420839637292,382,FALSE
"merchant_Angelus_Brand_By_Sneaker_Art_5819",0.119325363991636,383,FALSE
"merchant_By_Elan_3087",0.119089103884734,384,FALSE
"merchant_Alma_en_Pena_8727",0.118938475301272,385,FALSE
"merchant_Mf_cosmetics_3378",0.118808286462642,386,FALSE
"merchant_Cloe_3435",0.118555633719159,387,FALSE
"merchant_Odara_Professional_325",0.118201283345785,388,FALSE
"merchant_Select_Sound_8798",0.117746053692696,389,FALSE
"merchant_Because_I_Love_11232",0.117741627390969,390,FALSE
"merchant_EAGLE_EYES_11060",0.117360319323314,391,FALSE
"merchant_Nerias_5925",0.117293931767023,392,FALSE
"merchant_Arua_Joyeria_29976",0.117155801836528,393,FALSE
"merchant_Ixchel_9415",0.11714015495626,394,FALSE
"merchant_Cuevamoteros_com_9039",0.116929517647117,395,FALSE
"merchant_PCSTORE_MX_10943",0.116557128254399,396,FALSE
"merchant_Worales_1276",0.116555638746719,397,FALSE
"merchant_Saffron_Looms_7474",0.116341090070338,398,FALSE
"merchant_OHRO_11122",0.116205483979149,399,FALSE
"merchant_Opticas_Lux_7347",0.116178491695294,400,FALSE
"merchant_Galleprint_4575",0.116100079466086,401,FALSE
"merchant_Quantum_Boardgames_10260",0.115954556726382,402,FALSE
"merchant_NaturalDry_10594",0.115683823262205,403,FALSE
"merchant_Ecofiltro_2592",0.115629327602332,404,FALSE
"merchant_Ferre_Clicks_4653",0.115525137151522,405,FALSE
"merchant_Avocado_10872",0.115309195933328,406,FALSE
"merchant_Mubson_7947",0.115000576641146,407,FALSE
